,a,p,q,f,l,T,m,M
0,2783515814,43903.74000000,0.00104000,3314657946,3314657946,1702224000000,False,True
1,2783515815,43903.74000000,0.00210000,3314657947,3314657947,1702224000003,False,True
2,2783515816,43903.74000000,0.00168000,3314657948,3314657948,1702224000003,False,True
3,2783515817,43903.74000000,0.00062000,3314657949,3314657949,1702224000005,False,True
4,2783515818,43903.74000000,0.00202000,3314657950,3314657950,1702224000005,False,True
5,2783515819,43903.73000000,0.00223000,3314657951,3314657951,1702224000005,True,True
6,2783515820,43903.74000000,0.00082000,3314657952,3314657952,1702224000007,False,True
7,2783515821,43903.73000000,0.00038000,3314657953,3314657953,1702224000007,True,True
8,2783515822,43903.73000000,0.00170000,3314657954,3314657954,1702224000008,True,True
9,2783515823,43903.74000000,0.00150000,3314657955,3314657955,1702224000008,False,True
10,2783515824,43903.74000000,0.00064000,3314657956,3314657956,1702224000009,False,True
11,2783515825,43903.73000000,0.00049000,3314657957,3314657957,1702224000009,True,True
12,2783515826,43903.73000000,0.00186000,3314657958,3314657958,1702224000009,True,True
13,2783515827,43903.73000000,0.00234000,3314657959,3314657959,1702224000010,True,True
14,2783515828,43903.73000000,0.00249000,3314657960,3314657960,1702224000010,True,True
15,2783515829,43903.74000000,0.00162000,3314657961,3314657961,1702224000010,False,True
16,2783515830,43903.74000000,0.00062000,3314657962,3314657962,1702224000010,False,True
17,2783515831,43903.73000000,0.00136000,3314657963,3314657963,1702224000011,True,True
18,2783515832,43903.74000000,0.00089000,3314657964,3314657964,1702224000011,False,True
19,2783515833,43903.73000000,0.00137000,3314657965,3314657965,1702224000011,True,True
20,2783515834,43903.73000000,0.00147000,3314657966,3314657966,1702224000012,True,True
21,2783515835,43903.74000000,0.00213000,3314657967,3314657967,1702224000013,False,True
22,2783515836,43903.73000000,0.00224000,3314657968,3314657968,1702224000013,True,True
23,2783515837,43903.74000000,0.00135000,3314657969,3314657969,1702224000014,False,True
24,2783515838,43903.74000000,0.00142000,3314657970,3314657970,1702224000016,False,True
25,2783515839,43903.74000000,0.00085000,3314657971,3314657971,1702224000018,False,True
26,2783515840,43903.73000000,0.00046000,3314657972,3314657972,1702224000022,True,True
27,2783515841,43903.73000000,0.00213000,3314657973,3314657973,1702224000022,True,True
28,2783515842,43903.74000000,0.00100000,3314657974,3314657974,1702224000178,False,True
29,2783515843,43903.74000000,0.00166000,3314657975,3314657975,1702224000251,False,True
30,2783515844,43903.74000000,0.00027000,3314657976,3314657976,1702224000314,False,True
31,2783515845,43903.74000000,0.00092000,3314657977,3314657977,1702224000785,False,True
32,2783515846,43903.74000000,0.02171000,3314657978,3314657978,1702224000942,False,True
33,2783515847,43903.74000000,0.00083000,3314657979,3314657979,1702224000953,False,True
34,2783515848,43903.74000000,0.00291000,3314657980,3314657980,1702224000964,False,True
35,2783515849,43903.74000000,0.00071000,3314657981,3314657981,1702224001059,False,True
36,2783515850,43903.74000000,0.05036000,3314657982,3314657983,1702224001075,False,True
37,2783515851,43903.73000000,0.26281000,3314657984,3314657985,1702224002193,True,True
38,2783515852,43903.73000000,0.00623000,3314657986,3314657986,1702224002413,True,True
39,2783515853,43903.73000000,0.00280000,3314657987,3314657987,1702224002436,True,True
40,2783515854,43903.73000000,0.00498000,3314657988,3314657988,1702224002610,True,True
41,2783515855,43903.73000000,0.09678000,3314657989,3314657990,1702224002733,True,True
42,2783515856,43903.73000000,0.56000000,3314657991,3314657997,1702224002733,True,True
43,2783515857,43903.73000000,0.51958000,3314657998,3314658003,1702224002734,True,True
44,2783515858,43903.73000000,0.00104000,3314658004,3314658004,1702224002751,True,True
45,2783515859,43903.73000000,0.00064000,3314658005,3314658005,1702224002754,True,True
46,2783515860,43903.73000000,0.00249000,3314658006,3314658006,1702224002887,True,True
47,2783515861,43903.74000000,0.02355000,3314658007,3314658007,1702224003026,False,True
48,2783515862,43903.73000000,0.00060000,3314658008,3314658008,1702224003192,True,True
49,2783515863,43903.73000000,0.00828000,3314658009,3314658009,1702224003260,True,True
50,2783515864,43903.74000000,0.00413000,3314658010,3314658010,1702224003361,False,True
51,2783515865,43903.74000000,0.00470000,3314658011,3314658011,1702224003373,False,True
52,2783515866,43903.74000000,0.36021000,3314658012,3314658012,1702224003405,False,True
